GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
park-it,game,Main,52,0,0,0,17,0,3,0,3,0
park-it,game.controller,InputController,16,89,6,12,6,23,6,8,0,5
park-it,game.controller,MenuController,0,28,1,1,0,9,1,3,0,3
park-it,game.view,ParkingLotView,75,0,2,0,13,0,3,0,2,0
park-it,game.view,CarView,92,0,0,0,13,0,2,0,2,0
park-it,game.view,UserInterface,50,0,0,0,15,0,3,0,3,0
park-it,game.view,GameOverlay,100,0,4,0,19,0,4,0,2,0
park-it,game.model,Car,4,162,1,9,2,37,3,16,2,12
park-it,game.model,GameModel,0,264,5,21,0,55,5,21,0,13
park-it,game.model,PlayerStats,7,82,2,10,3,17,4,9,2,5
park-it,game.model,GameTimer,0,76,0,4,0,20,0,8,0,6
park-it,game.model,ParkingStatus,0,29,0,0,0,12,0,6,0,6
